# Source: pgeocode/GeoNames (https://www.geonames.org/) — CC BY 4.0
# Downloaded: 2026-04-10
# Fields: zip, lat, lng, city, state_id, state_name, county
zip,lat,lng,city,state_id,state_name,county
99755,63.5436,-149.9867,Denali National Park,AK,Alaska,Denali
99555,59.2697,-158.6199,Aleknagik,AK,Alaska,Dillingham (CA)
99569,58.8173,-158.5299,Clarks Point,AK,Alaska,Dillingham (CA)
99576,59.0402,-158.5231,Dillingham,AK,Alaska,Dillingham (CA)
99580,59.3628,-157.4782,Ekwok,AK,Alaska,Dillingham (CA)
99628,59.0096,-158.9897,Manokotak,AK,Alaska,Dillingham (CA)
99636,59.4882,-157.2905,New Stuyahok,AK,Alaska,Dillingham (CA)
99678,59.0619,-160.3764,Togiak,AK,Alaska,Dillingham (CA)
99701,64.8378,-147.7164,Fairbanks,AK,Alaska,Fairbanks North Star
99702,64.6735,-147.0805,Eielson Afb,AK,Alaska,Fairbanks North Star
99703,64.8283,-147.6557,Fort Wainwright,AK,Alaska,Fairbanks North Star
99705,64.7805,-147.3694,North Pole,AK,Alaska,Fairbanks North Star
99706,64.8521,-147.9377,Fairbanks,AK,Alaska,Fairbanks North Star
99707,64.8378,-147.7164,Fairbanks,AK,Alaska,Fairbanks North Star
99708,64.9475,-147.8564,Fairbanks,AK,Alaska,Fairbanks North Star
99709,64.8544,-147.8469,Fairbanks,AK,Alaska,Fairbanks North Star
99710,64.8378,-147.7164,Fairbanks,AK,Alaska,Fairbanks North Star
99711,64.8378,-147.7164,Fairbanks,AK,Alaska,Fairbanks North Star
99712,64.9109,-147.5105,Fairbanks,AK,Alaska,Fairbanks North Star
99714,64.5091,-146.953,Salcha,AK,Alaska,Fairbanks North Star
99716,64.8746,-146.8982,Two Rivers,AK,Alaska,Fairbanks North Star
99725,64.871,-148.0949,Ester,AK,Alaska,Fairbanks North Star
99775,64.8591,-147.8267,Fairbanks,AK,Alaska,Fairbanks North Star
99790,64.8378,-147.7164,Fairbanks,AK,Alaska,Fairbanks North Star
99827,59.2519,-135.542,Haines,AK,Alaska,Haines
99820,57.5005,-134.586,Angoon,AK,Alaska,Hoonah-Angoon
99825,58.1944,-136.3433,Elfin Cove,AK,Alaska,Hoonah-Angoon
99826,58.4284,-135.7615,Gustavus,AK,Alaska,Hoonah-Angoon
99829,58.0977,-135.4316,Hoonah,AK,Alaska,Hoonah-Angoon
99832,57.9608,-136.2275,Pelican,AK,Alaska,Hoonah-Angoon
99841,57.7808,-135.2189,Tenakee Springs,AK,Alaska,Hoonah-Angoon
99801,58.3628,-134.5294,Juneau,AK,Alaska,Juneau City and Borough
99802,58.3019,-134.4197,Juneau,AK,Alaska,Juneau City and Borough
99803,58.3019,-134.4197,Juneau,AK,Alaska,Juneau City and Borough
99811,58.3019,-134.4197,Juneau,AK,Alaska,Juneau City and Borough
99812,58.3271,-134.4742,Juneau,AK,Alaska,Juneau City and Borough
99821,58.4494,-134.7003,Auke Bay,AK,Alaska,Juneau City and Borough
99824,58.2756,-134.395,Douglas,AK,Alaska,Juneau City and Borough
99850,58.3019,-134.4197,Juneau,AK,Alaska,Juneau City and Borough
99556,59.8371,-151.7078,Anchor Point,AK,Alaska,Kenai Peninsula
99568,60.2311,-151.3936,Clam Gulch,AK,Alaska,Kenai Peninsula
99572,60.4767,-149.8235,Cooper Landing,AK,Alaska,Kenai Peninsula
99603,59.5374,-151.2356,Homer,AK,Alaska,Kenai Peninsula
99605,60.8726,-149.4683,Hope,AK,Alaska,Kenai Peninsula
99610,60.3164,-151.2896,Kasilof,AK,Alaska,Kenai Peninsula
99611,60.6145,-151.2546,Kenai,AK,Alaska,Kenai Peninsula
99631,60.6148,-149.4056,Moose Pass,AK,Alaska,Kenai Peninsula
99635,60.7007,-151.2766,Nikiski,AK,Alaska,Kenai Peninsula
99639,60.0108,-151.6396,Ninilchik,AK,Alaska,Kenai Peninsula
99663,59.4495,-151.7009,Seldovia,AK,Alaska,Kenai Peninsula
99664,60.1329,-149.3985,Seward,AK,Alaska,Kenai Peninsula
99669,60.4818,-151.1358,Soldotna,AK,Alaska,Kenai Peninsula
99672,60.5136,-150.8532,Sterling,AK,Alaska,Kenai Peninsula
99682,61.0681,-151.1369,Tyonek,AK,Alaska,Kenai Peninsula
99901,55.372,-131.6832,Ketchikan,AK,Alaska,Ketchikan Gateway
99928,55.3954,-131.6754,Ward Cove,AK,Alaska,Ketchikan Gateway
99950,55.3422,-131.6478,Ketchikan,AK,Alaska,Ketchikan Gateway
99550,57.8675,-152.8822,Port Lions,AK,Alaska,Kodiak Island
99608,57.5689,-154.4551,Karluk,AK,Alaska,Kodiak Island
99615,57.6036,-153.3751,Kodiak,AK,Alaska,Kodiak Island
99619,57.79,-152.4072,Kodiak,AK,Alaska,Kodiak Island
99624,57.54,-153.9786,Larsen Bay,AK,Alaska,Kodiak Island
99643,57.2028,-153.3039,Old Harbor,AK,Alaska,Kodiak Island
99644,57.9236,-152.5022,Ouzinkie,AK,Alaska,Kodiak Island
99697,57.79,-152.4072,Kodiak,AK,Alaska,Kodiak Island
99554,62.6944,-164.6475,Alakanuk,AK,Alaska,Kusilvak
99563,61.529,-165.5905,Chevak,AK,Alaska,Kusilvak
99581,62.7818,-164.5335,Emmonak,AK,Alaska,Kusilvak
99585,61.9287,-162.268,Marshall,AK,Alaska,Kusilvak
99604,61.527,-166.1151,Hooper Bay,AK,Alaska,Kusilvak
99620,63.0295,-163.5542,Kotlik,AK,Alaska,Kusilvak
99632,62.1123,-163.6644,Mountain Village,AK,Alaska,Kusilvak
99650,61.9462,-162.8747,Pilot Station,AK,Alaska,Kusilvak
99657,61.7744,-161.3939,Russian Mission,AK,Alaska,Kusilvak
99658,62.1172,-163.2376,Saint Marys,AK,Alaska,Kusilvak
99662,61.845,-165.5819,Scammon Bay,AK,Alaska,Kusilvak
99666,62.5309,-164.8496,Nunam Iqua,AK,Alaska,Kusilvak
99548,56.2448,-158.7578,Chignik Lake,AK,Alaska,Lake and Peninsula
99549,56.9643,-158.5664,Port Heiden,AK,Alaska,Lake and Peninsula
99564,56.3016,-158.4157,Chignik,AK,Alaska,Lake and Peninsula
99565,58.2687,-156.6484,Chignik Lagoon,AK,Alaska,Lake and Peninsula
99579,58.2062,-157.3422,Egegik,AK,Alaska,Lake and Peninsula
99606,59.7525,-154.8236,Iliamna,AK,Alaska,Lake and Peninsula
99625,59.2905,-156.6503,Levelock,AK,Alaska,Lake and Peninsula
99640,59.9736,-154.8458,Nondalton,AK,Alaska,Lake and Peninsula
99647,59.8681,-154.0757,Pedro Bay,AK,Alaska,Lake and Peninsula
99648,55.9453,-159.2593,Perryville,AK,Alaska,Lake and Peninsula
99649,57.5642,-157.5792,Pilot Point,AK,Alaska,Lake and Peninsula
99653,60.2025,-154.3128,Port Alsworth,AK,Alaska,Lake and Peninsula
99623,61.5463,-149.5901,Wasilla,AK,Alaska,Matanuska-Susitna Borough
99629,61.5841,-149.4436,Wasilla,AK,Alaska,Matanuska-Susitna Borough
99645,61.6303,-148.9872,Palmer,AK,Alaska,Matanuska-Susitna Borough
99652,61.5214,-149.9544,Big Lake,AK,Alaska,Matanuska-Susitna Borough
99654,61.5923,-149.3959,Wasilla,AK,Alaska,Matanuska-Susitna Borough
99667,61.9903,-151.3978,Skwentna,AK,Alaska,Matanuska-Susitna Borough
99674,61.7327,-148.7837,Sutton,AK,Alaska,Matanuska-Susitna Borough
99676,62.2605,-150.1101,Talkeetna,AK,Alaska,Matanuska-Susitna Borough
99683,62.3167,-150.2314,Trapper Creek,AK,Alaska,Matanuska-Susitna Borough
99687,61.5313,-149.4784,Wasilla,AK,Alaska,Matanuska-Susitna Borough
99688,61.8966,-150.0038,Willow,AK,Alaska,Matanuska-Susitna Borough
